"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\cqrs\verify-account\handler\verify-account.handler.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\dto\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\dto\login.dto.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\dto\register.dto.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\profiles\auth.profile.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 2, 4, 21
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\serializer\constants.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\serializer\session.d.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\serializer\session.serializer.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 2, 5, 27
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\strategies\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\auth\strategies\local.strategy.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 6, 33
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\controllers\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\controllers\otp.controller.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\cqrs\generate-otp\command\generate-otp.command.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\squal\OneDrive\Belgeler\GitHub\nexus\backend\src\features\otp\cqrs\generate-otp\handler\generate-otp.handler.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 8, 41
