"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "YAML", "vue", "HTML", "XML", "CSS", "comment", "blank", "total"
"/Users/canson/Documents/GitHub/nexus/v2/backend/.eslintrc.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"/Users/canson/Documents/GitHub/nexus/v2/backend/.prettierrc", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/canson/Documents/GitHub/nexus/v2/backend/README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/canson/Documents/GitHub/nexus/v2/backend/nest-cli.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/canson/Documents/GitHub/nexus/v2/backend/package.json", "JSON", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 1, 106
"/Users/canson/Documents/GitHub/nexus/v2/backend/pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 6921, 0, 0, 0, 0, 0, 2036, 8957
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/app.module.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 52
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/contexts/authenticated.context.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/database/database.module.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/database/database.service.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/decorators/index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/decorators/is-field-unique.decorator.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/decorators/message.decorator.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/decorators/paginate.decorator.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 67
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/decorators/types/pagination.interface.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/decorators/user.decorator.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/guards/authenticated.guard.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/guards/base.guard.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/guards/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/guards/local-auth.guard.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/interfaces/payload.interface.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/pagination/dto/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/pagination/dto/page-meta.dto.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/pagination/dto/page-options.dto.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/pagination/dto/page.dto.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/pagination/enums/order.enum.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/common/pagination/interfaces/page-meta-dto-parameters.interface.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/config/config.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/core/filters/http-exception.filter.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/core/interceptors/logging.interceptor.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 56
"/Users/canson/Documents/GitHub/nexus/v2/backend/src/core/interceptors/transform.interceptor.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
